Start_Year,count,Genre,Total,Top_Anime
1978.0,2,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1979.0,2,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1980.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1981.0,4,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1982.0,3,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1983.0,8,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1984.0,5,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1985.0,6,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1986.0,5,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1987.0,11,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1988.0,8,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1989.0,7,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1990.0,11,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1991.0,16,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1992.0,11,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
